ANO_ELEICAO,NM_UE,DS_CARGO,NR_CANDIDATO,NR_PARTIDO,SG_PARTIDO,NM_MUNICIPIO_NASCIMENTO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO
2016,VITÓRIA DA CONQUISTA,VEREADOR,14000,14,PTB,VITÓRIA DA CONQUISTA,53,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,20121,20,PSC,VITÓRIA DA CONQUISTA,47,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,15789,15,PMDB,VITÓRIA DA CONQUISTA,37,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,COMERCIANTE
2016,VITÓRIA DA CONQUISTA,VEREADOR,23777,23,PPS,ITAMBE,58,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,COMERCIANTE
2016,VITÓRIA DA CONQUISTA,VEREADOR,15147,15,PMDB,VITÓRIA DA CONQUISTA,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
2016,VITÓRIA DA CONQUISTA,VEREADOR,17555,17,PSL,CANDIDO SALES,42,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,AGENTE DE SAÚDE E SANITARISTA
2016,VITÓRIA DA CONQUISTA,VEREADOR,40740,40,PSB,VITÓRIA DA CONQUISTA,41,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,SERVIDOR PÚBLICO ESTADUAL
2016,VITÓRIA DA CONQUISTA,VEREADOR,13555,13,PT,SAO MIGUEL DAS MATAS,58,FEMININO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL
2016,VITÓRIA DA CONQUISTA,VEREADOR,23009,23,PPS,BARREIRAS,67,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,MILITAR REFORMADO
2016,VITÓRIA DA CONQUISTA,VEREADOR,11193,11,PP,VITORIA DA CONQUISTA,56,FEMININO,LÊ E ESCREVE,PARDA,OUTROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,50018,50,PSOL,ANAGÉ,45,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,AGRICULTOR
2016,VITÓRIA DA CONQUISTA,VEREADOR,19888,19,PTN,ITAMBÉ,65,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,OUTROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,54555,54,PPL,VITÓRIA DA CONQUISTA,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
2016,VITÓRIA DA CONQUISTA,VEREADOR,23222,23,PPS,ENCRUZILHADA,40,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,COMERCIANTE
2016,VITÓRIA DA CONQUISTA,VEREADOR,23258,23,PPS,ITABUNA,71,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,"TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO"
2016,VITÓRIA DA CONQUISTA,VEREADOR,43999,43,PV,ITABERÁ,50,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,77777,77,SD,VITÓRIA DA CONQUISTA,35,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,OUTROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,20100,20,PSC,CARAVELAS,42,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PRETA,FISCAL DE TRANSPORTE COLETIVO
2016,VITÓRIA DA CONQUISTA,VEREADOR,65333,65,PC do B,ITAPETINGA,38,FEMININO,SUPERIOR COMPLETO,PRETA,OUTROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,11789,11,PP,VITORIA DA CONQUISTA,40,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,EMPRESÁRIO
2016,VITÓRIA DA CONQUISTA,VEREADOR,13133,13,PT,VITORIA DA CONQUISTA,43,MASCULINO,SUPERIOR COMPLETO,PARDA,ECONOMISTA
2016,VITÓRIA DA CONQUISTA,VEREADOR,23234,23,PPS,UBAIRA,83,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,45450,45,PSDB,VITORIA DA CONQUISTA,69,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,OUTROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,65888,65,PC do B,CÂNDIDO SALES,43,MASCULINO,SUPERIOR COMPLETO,PRETA,ADMINISTRADOR
2016,VITÓRIA DA CONQUISTA,VEREADOR,14123,14,PTB,VITORIA DA CONQUISTA,30,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,SECRETÁRIO E DATILÓGRAFO
2016,VITÓRIA DA CONQUISTA,VEREADOR,31999,31,PHS,VITORIA DA CONQUISTA,63,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,SERVIDOR PÚBLICO ESTADUAL
2016,VITÓRIA DA CONQUISTA,VEREADOR,55000,55,PSD,VITORIA DA CONQUISTA,50,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,AGENTE DE SAÚDE E SANITARISTA
2016,VITÓRIA DA CONQUISTA,VEREADOR,13500,13,PT,VITORIA DA CONQUISTA,42,MASCULINO,SUPERIOR COMPLETO,PRETA,POLICIAL MILITAR
2016,VITÓRIA DA CONQUISTA,VEREADOR,40777,40,PSB,NANUQUE,45,FEMININO,ENSINO MÉDIO INCOMPLETO,BRANCA,COMERCIANTE
2016,VITÓRIA DA CONQUISTA,VEREADOR,20258,20,PSC,ARATACA,58,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS"
2016,VITÓRIA DA CONQUISTA,VEREADOR,51678,51,PEN,VITÓRIA DA CONQUISTA,70,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,"TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO"
2016,VITÓRIA DA CONQUISTA,VEREADOR,13888,13,PT,URUCUCA,66,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA
2016,VITÓRIA DA CONQUISTA,VEREADOR,25741,25,DEM,VITORIA DA CONQUISTA,24,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,OUTROS
2016,VITÓRIA DA CONQUISTA,PREFEITO,13,13,PT,POJUCA,66,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR
2016,VITÓRIA DA CONQUISTA,VEREADOR,43123,43,PV,ITAGIBÁ,42,FEMININO,SUPERIOR COMPLETO,PARDA,ENFERMEIRO
2016,VITÓRIA DA CONQUISTA,VEREADOR,23700,23,PPS,ENCRUZILHADA,45,MASCULINO,SUPERIOR COMPLETO,PARDA,GERENTE
2016,VITÓRIA DA CONQUISTA,VEREADOR,15678,15,PMDB,NOVA CANAA,57,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS"
2016,VITÓRIA DA CONQUISTA,VEREADOR,36000,36,PTC,VITORIA DA CONQUISTA,56,FEMININO,SUPERIOR COMPLETO,PARDA,ENGENHEIRO
2016,VITÓRIA DA CONQUISTA,VEREADOR,65432,65,PC do B,CAATIBA,72,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,EMPRESÁRIO
2016,VITÓRIA DA CONQUISTA,VEREADOR,77988,77,SD,PIANCÓ,45,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
2016,VITÓRIA DA CONQUISTA,VEREADOR,13111,13,PT,POCOES,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
