ANO_ELEICAO,NM_UE,DS_CARGO,NR_CANDIDATO,NR_PARTIDO,SG_PARTIDO,NM_MUNICIPIO_NASCIMENTO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO
2020,VITÓRIA DA CONQUISTA,VEREADOR,45121,45,PSDB,BELO CAMPO,40,MASCULINO,SUPERIOR INCOMPLETO,PARDA,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS"
2020,VITÓRIA DA CONQUISTA,VEREADOR,70007,70,AVANTE,VITÓRIA DA CONQUISTA,45,MASCULINO,SUPERIOR COMPLETO,PARDA,POLICIAL CIVIL
2020,VITÓRIA DA CONQUISTA,VEREADOR,36133,36,PTC,VITÓRIA DA CONQUISTA,58,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,40666,40,PSB,VITÓRIA DA CONQUISTA,45,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,ENFERMEIRO
2020,VITÓRIA DA CONQUISTA,VEREADOR,36300,36,PTC,JUREMA,64,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,COMERCIANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,40777,40,PSB,JUSSARA,33,FEMININO,SUPERIOR COMPLETO,PRETA,ECONOMISTA
2020,VITÓRIA DA CONQUISTA,VEREADOR,19323,19,PODE,VITÓRIA DA CONQUISTA,63,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,ARTESÃO
2020,VITÓRIA DA CONQUISTA,VEREADOR,19182,19,PODE,VITÓRIA DA CONQUISTA,43,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,19100,19,PODE,NATAL,55,FEMININO,LÊ E ESCREVE,BRANCA,COMERCIANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,28817,28,PRTB,VITÓRIA DA CONQUISTA,33,FEMININO,LÊ E ESCREVE,BRANCA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,51111,51,PATRIOTA,VITÓRIA DA CONQUISTA,37,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,VIGILANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,25125,25,DEM,VITÓRIA DA CONQUISTA,33,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,13100,13,PT,VITÓRIA DA CONQUISTA,53,MASCULINO,SUPERIOR COMPLETO,PARDA,ADMINISTRADOR
2020,VITÓRIA DA CONQUISTA,VEREADOR,55555,55,PSD,VITÓRIA DA CONQUISTA,54,FEMININO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO FUNDAMENTAL
2020,VITÓRIA DA CONQUISTA,VEREADOR,55134,55,PSD,VITÓRIA DA CONQUISTA,35,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,MOTORISTA PARTICULAR
2020,VITÓRIA DA CONQUISTA,VEREADOR,19000,19,PODE,CAATIBA,47,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,EMPRESÁRIO
2020,VITÓRIA DA CONQUISTA,VEREADOR,22002,22,PL,ANDARAÍ,54,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,10133,10,REPUBLICANOS,VITÓRIA DA CONQUISTA,43,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,COMERCIANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,70190,70,AVANTE,VITÓRIA DA CONQUISTA,50,MASCULINO,SUPERIOR COMPLETO,PRETA,POLICIAL MILITAR
2020,VITÓRIA DA CONQUISTA,VEREADOR,10117,10,REPUBLICANOS,ITAGI,38,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,13222,13,PT,ITAPETINGA,39,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,COMERCIANTE
2020,VITÓRIA DA CONQUISTA,VEREADOR,13313,13,PT,ECOPORANGA,66,FEMININO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO MUNICIPAL
2020,VITÓRIA DA CONQUISTA,VEREADOR,40456,40,PSB,VITÓRIA DA CONQUISTA,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO MÉDIO
2020,VITÓRIA DA CONQUISTA,VEREADOR,65700,65,PC do B,VITÓRIA DA CONQUISTA,45,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL
2020,VITÓRIA DA CONQUISTA,VEREADOR,11321,11,PP,VITÓRIA DA CONQUISTA,36,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,25070,25,DEM,VITÓRIA DA CONQUISTA,57,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,19019,19,PODE,VITÓRIA DA CONQUISTA,56,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,DONA DE CASA
2020,VITÓRIA DA CONQUISTA,VEREADOR,13300,13,PT,SÃO PAULO,45,FEMININO,SUPERIOR COMPLETO,BRANCA,ENFERMEIRO
2020,VITÓRIA DA CONQUISTA,VEREADOR,28190,28,PRTB,VITÓRIA DA CONQUISTA,36,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
2020,VITÓRIA DA CONQUISTA,PREFEITO,15,15,MDB,VITÓRIA DA CONQUISTA,72,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO
2020,VITÓRIA DA CONQUISTA,VEREADOR,22011,22,PL,VITÓRIA DA CONQUISTA,57,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,20160,20,PSC,VITÓRIA DA CONQUISTA,34,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SEM INFORMAÇÃO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA
2020,VITÓRIA DA CONQUISTA,VEREADOR,36700,36,PTC,TAUÁ,53,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,EMPRESÁRIO
2020,VITÓRIA DA CONQUISTA,VEREADOR,36233,36,PTC,ANAGÉ,41,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,11111,11,PP,IBICARAÍ,53,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,AGENTE DE SAÚDE E SANITARISTA
2020,VITÓRIA DA CONQUISTA,VEREADOR,11135,11,PP,VITÓRIA DA CONQUISTA,59,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,AGENTE DE SAÚDE E SANITARISTA
2020,VITÓRIA DA CONQUISTA,VEREADOR,20333,20,PSC,ENCRUZILHADA,39,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SEM INFORMAÇÃO,APOSENTADO (EXCETO SERVIDOR PÚBLICO)
2020,VITÓRIA DA CONQUISTA,VEREADOR,65444,65,PC do B,VITÓRIA DA CONQUISTA,42,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,36192,36,PTC,VITÓRIA DA CONQUISTA,44,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO)
2020,VITÓRIA DA CONQUISTA,VEREADOR,36190,36,PTC,VITÓRIA DA CONQUISTA,32,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
2020,VITÓRIA DA CONQUISTA,VEREADOR,28333,28,PRTB,VITÓRIA DA CONQUISTA,40,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,"PADEIRO, CONFEITEIRO E ASSEMELHADOS"
2020,VITÓRIA DA CONQUISTA,VEREADOR,14007,14,PTB,VITÓRIA DA CONQUISTA,61,MASCULINO,SUPERIOR COMPLETO,PARDA,PROFESSOR DE ENSINO SUPERIOR
2020,VITÓRIA DA CONQUISTA,VEREADOR,20020,20,PSC,PALMEIRA DOS ÍNDIOS,50,FEMININO,ENSINO MÉDIO COMPLETO,SEM INFORMAÇÃO,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA
2020,VITÓRIA DA CONQUISTA,VEREADOR,36999,36,PTC,SÃO PAULO,30,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,OUTROS
